#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,serial_number
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T00:00:00Z,77.4,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T00:15:00Z,78.6,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T00:30:00Z,77.4,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T00:45:00Z,79.2,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T01:00:00Z,75,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T01:15:00Z,74.2,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T01:30:00Z,68,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T01:45:00Z,77.6,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T02:00:00Z,75.7,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T02:15:00Z,74.7,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T02:30:00Z,74.2,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T02:45:00Z,74.9,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T03:00:00Z,74.1,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T03:15:00Z,72.9,evaporator_humidity,air_conditioner,PL9QXK27M5YD3ZT
