#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event_type,serial_number
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T06:00:00Z,0,event_value,refrigerator,defrost_cycle,SF5YT62MPO2G3DH
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-05T05:59:12Z,0,event_value,refrigerator,defrost_cycle,SF5YT62MPO2G3DH
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-06T05:59:52Z,0,event_value,refrigerator,defrost_cycle,SF5YT62MPO2G3DH
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-07T06:00:42Z,0,event_value,refrigerator,defrost_cycle,SF5YT62MPO2G3DH
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-08T06:00:22Z,0,event_value,refrigerator,defrost_cycle,SF5YT62MPO2G3DH
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-09T05:59:11Z,0,event_value,refrigerator,defrost_cycle,SF5YT62MPO2G3DH
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-10T05:58:42Z,0,event_value,refrigerator,defrost_cycle,SF5YT62MPO2G3DH

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event_type,location,serial_number
,,1,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T03:46:00Z,0,event_value,refrigerator,door_close,freezer,SF5YT62MPO2G3DH
,,1,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T04:58:00Z,0,event_value,refrigerator,door_close,freezer,SF5YT62MPO2G3DH
,,1,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T07:55:00Z,0,event_value,refrigerator,door_close,freezer,SF5YT62MPO2G3DH
,,1,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T14:32:00Z,0,event_value,refrigerator,door_close,freezer,SF5YT62MPO2G3DH
,,1,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T16:40:00Z,0,event_value,refrigerator,door_close,freezer,SF5YT62MPO2G3DH
,,1,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T23:15:00Z,0,event_value,refrigerator,door_close,freezer,SF5YT62MPO2G3DH
,,1,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T23:40:00Z,0,event_value,refrigerator,door_close,freezer,SF5YT62MPO2G3DH
,,1,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-05T02:17:00Z,0,event_value,refrigerator,door_close,freezer,SF5YT62MPO2G3DH
,,1,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-05T03:11:00Z,0,event_value,refrigerator,door_close,freezer,SF5YT62MPO2G3DH
,,1,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-05T06:40:00Z,0,event_value,refrigerator,door_close,freezer,SF5YT62MPO2G3DH
